Account,Period,Transaction Date,Amount,Description,LA1,LA2,LA3,LA4,LA5
200119,007/2020,31/10/2020,24.38,MX030196_Staines Road,MX0143BA1,,1476,MX,C010
200119,007/2020,31/10/2020,71.89,MX030197_Haydock Avenue,MX0393BA1,,3522,MX,C010
200106,007/2020,31/10/2020,41.78,MX030203_William Close,GN0886BA1,,U00033,GN,C010
200119,007/2020,31/10/2020,24.38,MX030213_Holland Gardens,MX0292BA1,,2631,MX,C010
200106,007/2020,31/10/2020,103.02,MX030214_Holland Gardens,MX0292BA1,,2631,MX,C010
200106,007/2020,31/10/2020,60.72,MX030218_North End Road,MX0355BA1,,3139,MX,C010
200106,007/2020,31/10/2020,60.72,MX030226_Nicoll Road,MX0260BA1,,2336,MX,C010
200106,007/2020,31/10/2020,43.33,MX030228_Blacks Road,MX0019BA1,,1000099,MX,C010
200106,007/2020,31/10/2020,30.36,MX030246_William Close,GN0886BA1,,U00033,GN,C010
200106,007/2020,31/10/2020,72.66,MX030250_Holland Gardens,MX0292BA1,,2631,MX,C010
200106,007/2020,31/10/2020,165.99,MX030254_Wandsworth Bridge,MX0032EB1,,1000190,MX,C010
210200,007/2020,31/10/2020,87.72,MOB004036_Craven Park,PL5004L04,,11894,PL,C018
210200,007/2020,31/10/2020,44.95,MOB004077_Craven Park,PL5004L04,,11893,PL,C018
210200,007/2020,31/10/2020,60.72,MOB004105_North Circular R,PL5006L06,,1000154,PL,C018
210200,007/2020,31/10/2020,18.78,PML004539_Goodhall Street,PL5008L08,,U00046,PL,C018
210200,007/2020,31/10/2020,18.78,PML004557_Wendover Road,PL5006L06,,12663,PL,C018
210200,007/2020,31/10/2020,18.78,PML004666_Leeland Road,PL5003L03,,11424,PL,C018
210200,007/2020,31/10/2020,18.78,PML004702_Bishops Bridge,PL5004L04,,12626,PL,C018
210200,007/2020,31/10/2020,18.78,PML004712_Eton Avenue,PL5008L08,,U00062,PL,C018
210200,007/2020,31/10/2020,1075.10,PML004959_Fry Road,PL5008L08,,U00077,PL,C018
210200,007/2020,31/10/2020,302.33,PML004965_Leopold Road,PL5004L04,,12082,PL,C018
210200,007/2020,31/10/2020,18.78,PML005027_Connaught Road,PL5006L06,,U00067,PL,C018
210200,007/2020,31/10/2020,196.80,PML005091_Uxbridge Road,PL5001L01,,8309,MK,C018
210600,007/2020,31/10/2020,2099.32,PML005092_Kelvin Gardens,PL5008L08,,12473,PL,C018
210200,007/2020,31/10/2020,404.03,PML005094_Yewfield Road,PL5006L06,,U00015,PL,C018
210200,007/2020,31/10/2020,365.64,PML005111_The Vale,PL5001L01,,8174,PL,C018
210200,007/2020,31/10/2020,26.09,PML005112_The Green,PL5003L03,,11071,PL,C018
210600,007/2020,31/10/2020,1574.70,PML005116_Acton Lane,PL5004L04,,11565,PL,C018
210200,007/2020,31/10/2020,157.44,PML005118_Talbot Walk,PL5008L08,,12673,PL,C018
210600,007/2020,31/10/2020,2237.78,PML005127_Finborough Road,PL5004L04,,12441,PL,C018
210200,007/2020,31/10/2020,321.88,PML005135_Oldfield Road,PL5006L06,,10445,PL,C018
210600,007/2020,31/10/2020,2713.29,PML005144_Cricklewood Broa,PL5006L06,,U00041,PL,C018
210200,007/2020,31/10/2020,78.11,PML005146_Allingham Close,PL5004L04,,9033,PL,C018
210200,007/2020,31/10/2020,158.51,PML005153_Balnacraig Avenu,PL5006L06,,12354,PL,C018
210600,007/2020,31/10/2020,555.03,PML005156_High Street,PL5006L06,,9786,PL,C018
210200,007/2020,31/10/2020,92.05,PML005170_Errol Gardens,PL5008L08,,12629,PL,C018
210200,007/2020,31/10/2020,100.23,PML005171_Errol Gardens,PL5008L08,,12629,PL,C018
210200,007/2020,31/10/2020,460.44,PML005181_Errol Gardens,PL5008L08,,12629,PL,C018
230100,007/2020,31/10/2020,216.00,PMO000528_Shepherds Bush R,PL5009L09,,4903,PL,C018
210200,007/2020,31/10/2020,76.23,PMO000535_Shepherds Bush R,PL5009L09,,4903,PL,C018
210600,007/2020,31/10/2020,1084.78,PMO000547_Blacks Road,PL5010L10,,12290,PL,C018
210200,007/2020,31/10/2020,70.44,PMO000553_Golden Manor,MX0269BA1,,2415,MK,CO10
210200,007/2020,31/10/2020,119.53,PMO000554_Golden Manor,MX0269BA1,,8766,MK,CO10
210200,007/2020,31/10/2020,9.35,PMO000556_Blacks Road,PL5010L10,,12294,PL,C018
210200,007/2020,31/10/2020,68.97,PMO000557_Blacks Road,PL5010L10,,12294,PL,C018
210200,007/2020,31/10/2020,76.52,MOB003932_Marbaix Gardens,MX0118BB1,,11476,GN,C010
210200,007/2020,31/10/2020,76.52,MOB003992_Curwen Road,GN0553BA1,,4435,GN,C010
210200,007/2020,31/10/2020,57.36,MOB004033_New Kings Road,GN0382BA1,,6035,GN,C010
210200,007/2020,31/10/2020,60.72,MOB004034_Tynemouth Street,GN0248BA1,,6260,GN,C010
210200,007/2020,31/10/2020,57.36,MOB004035_St Elmo Road,GN0417BA1,,4350,GN,C010
210200,007/2020,31/10/2020,87.72,MOB004047_Rainville Road,GN0373BA1,,5842,GN,C010
210200,007/2020,31/10/2020,25.04,MOB004056_Davisville Road,GN0720BA1,,4436,GN,C010
210200,007/2020,31/10/2020,30.36,MOB004080_Woodstock Grove,GN0385BA1,,4959,GN,C010
210200,007/2020,31/10/2020,81.31,MOB004085_Percy Road,GN0168BA1,,4512,GN,C010
210200,007/2020,31/10/2020,25.04,MOB004086_Gurnell Grove,GN0187BA1,,8236,GN,C010
210200,007/2020,31/10/2020,60.72,MOB004097_Cromwell Road,GN5393BA1,,8893,GN,C010
210200,007/2020,31/10/2020,30.36,MOB004104_Mablethorpe Road,GN0163BA1,,6007,GN,C010
200119,007/2020,31/10/2020,79.36,MX030171_KELWAY HOUSE,MX0355BA1,,3139,MX,C010
210200,007/2020,31/10/2020,85.00,SBHA281423_Rochester Avenu,GN5291BA1,,7925,GN,C010
210200,007/2020,31/10/2020,197.88,SBHA284726_Scotts Road,GN0135BA1,,7567,GN,C010
210200,007/2020,31/10/2020,765.39,SBHA285849_Hopes Close,GN0885BA1,,6308,GN,C010
210200,007/2020,31/10/2020,168.40,SBHA286415_Wandsworth Brid,MX0032BE1,,9879,GN,C010
210200,007/2020,31/10/2020,106.00,SBHA286442_Wandsworth Brid,MX0032BA1,,9591,GN,C010
210200,007/2020,31/10/2020,1145.00,SBHA286493_Garsdale Terrac,GN5304BA1,,8091,GN,C010
210200,007/2020,31/10/2020,315.00,SBHA287257_Wellesley Road,MX0434BA1,,11700,GN,C010
210200,007/2020,31/10/2020,783.53,SBHA287370_Cardross Street,GN5207BA1,,4651,GN,C010
210200,007/2020,31/10/2020,365.18,SBHA287391_Heath Road,GN0409BA1,,5567,GN,C010
210200,007/2020,31/10/2020,225.00,SBHA287701_Roundwood Road,GN5430BA1,,9156,GN,C010
210200,007/2020,31/10/2020,165.00,SBHA287714_Holland Gardens,MX0292BA1,,9057,GN,C010
210200,007/2020,31/10/2020,145.00,SBHA287876_Pembridge Squar,GN0691BA1,,5353,GN,C010
210200,007/2020,31/10/2020,313.08,SBHA287980_Atwood Road,GN5206BA1,,4622,GN,C010
210200,007/2020,31/10/2020,1850.00,SBHA288014_Percy Road,GN0168BA1,,4512,GN,C010
210200,007/2020,31/10/2020,100.00,SBHA288213_Bloemfontein Ro,GN0828BA1,,4023,GN,C010
210200,007/2020,31/10/2020,245.00,SBHA288554_Old Pound Close,GN5143BA1,,7390,GN,C010
210200,007/2020,31/10/2020,145.00,SBHA288668_Cambridge Grove,GN0237BA1,,4644,GN,C010
210200,007/2020,31/10/2020,125.00,SBHA289697_Great Central A,GN5186BA1,,11094,GN,C010
210200,007/2020,31/10/2020,1859.72,SBHA290033_Townmead Road,MX0032BB1,,9666,GN,C010
210200,007/2020,31/10/2020,90.73,SBHA290100_Merrington Road,GN0544BA1,,5827,GN,C010
210200,007/2020,31/10/2020,18.02,SBHA290381_Southfield Road,GN0230BA1,,5314,GN,C010
